step	dice_multi
0	0.49567674553899854
1	0.8678112986810343
2	0.9002404122095601
3	0.9037230611428365
4	0.9036296785751233
5	0.9138382896502495
6	0.912737622594212
7	0.9205362040098133
8	0.9247256315463004
9	0.9304281010757018
10	0.9454009202747968
11	0.9402829749657704
12	0.9507789060420042
13	0.9505186128983534
14	0.9455526619424355
15	0.9575226212855479
16	0.9576029017266077
17	0.9598978898489836
18	0.9607287208062576
19	0.9638160637670007
20	0.9630275835751596
21	0.964651665771027
22	0.9659600812464776
23	0.9659253539315978
24	0.9660155585596586
25	0.9660157920541848
