step	loss
0	0.20812077820301056
1	0.03698161244392395
2	0.030008355155587196
3	0.02581709995865822
4	0.02278248220682144
5	0.020592637360095978
6	0.01838763989508152
7	0.017039965838193893
8	0.015333974733948708
9	0.014736481942236423
10	0.013457192108035088
11	0.012976739555597305
12	0.011975719593465328
13	0.011006312444806099
14	0.010221702978014946
15	0.009519785642623901
16	0.008959325961768627
17	0.008448580279946327
18	0.007952743209898472
19	0.00761581864207983
20	0.007303427904844284
21	0.0070146904326975346
22	0.006767092738300562
23	0.006545715499669313
24	0.006353258155286312
25	0.006303830072283745
